id,type,name,technology,category
1,npm,axios,"",""
2,npm,dotenv,"",""
3,npm,form-data,"",""
4,npm,inquirer,"",""
5,npm,node-html-parser,"",""
6,npm,ansi-escapes,"",""
7,npm,ansi-regex,"",""
8,npm,ansi-styles,"",""
9,npm,asynckit,"",""
10,npm,base64-js,"",""
11,npm,bl,,
12,npm,boolbase,,
13,npm,buffer,"",""
14,npm,chalk,"",""
15,npm,chardet,"",""
16,npm,cli-cursor,"",""
17,npm,cli-spinners,"",""
18,npm,cli-width,,
19,npm,clone,"",""
20,npm,color-convert,"",""
21,npm,color-name,"",""
22,npm,combined-stream,"",""
23,npm,css-select,,
24,npm,css-what,,
25,npm,defaults,,
26,npm,delayed-stream,"",""
27,npm,dom-serializer,,
28,npm,domelementtype,,
29,npm,domhandler,,
30,npm,domutils,,
31,npm,emoji-regex,"",""
32,npm,entities,,
33,npm,escape-string-regexp,"",""
34,npm,external-editor,,
35,npm,figures,"",""
36,npm,follow-redirects,"",""
37,npm,has-flag,"",""
38,npm,he,"",""
39,npm,iconv-lite,"",""
40,npm,ieee754,"",""
41,npm,inherits,"",""
42,npm,is-fullwidth-code-point,"",""
43,npm,is-interactive,,
44,npm,is-unicode-supported,"",""
45,npm,jira-to-openproject-migrator,,
46,npm,lodash,"",""
47,npm,log-symbols,"",""
48,npm,mime-db,"",""
49,npm,mime-types,"",""
50,npm,mimic-fn,"",""
51,npm,mute-stream,,
52,npm,nth-check,,
53,npm,onetime,"",""
54,npm,ora,"",""
55,npm,os-tmpdir,,
56,npm,proxy-from-env,"",""
57,npm,readable-stream,"",""
58,npm,restore-cursor,"",""
59,npm,run-async,,
60,npm,rxjs,"",""
61,npm,safe-buffer,"",""
62,npm,safer-buffer,"",""
63,npm,signal-exit,"",""
64,npm,string-width,"",""
65,npm,string_decoder,"",""
66,npm,strip-ansi,"",""
67,npm,supports-color,"",""
68,npm,through,"",""
69,npm,tmp,"",""
70,npm,tslib,"",""
71,npm,type-fest,"",""
72,npm,util-deprecate,"",""
73,npm,wcwidth,,
74,npm,wrap-ansi,"",""
75,java-archive,gradle-wrapper,,
76,gem,CFPropertyList,,
77,gem,activesupport,,
78,gem,addressable,,
79,gem,babosa,,
80,gem,badge,,
81,gem,claide,,
82,gem,clamp,,
83,gem,colored,,
84,gem,colored2,,
85,gem,commander,,
86,gem,commander-fastlane,,
87,gem,concurrent-ruby,,
88,gem,credentials_manager,,
89,gem,curb,,
90,gem,declarative,,
91,gem,declarative-option,,
92,gem,domain_name,,
93,gem,dotenv,,
94,gem,excon,,
95,gem,faraday,,
96,gem,faraday-cookie_jar,,
97,gem,faraday_middleware,,
98,gem,fastimage,,
99,gem,fastlane,,
100,gem,gh_inspector,,
101,gem,google-api-client,,
102,gem,googleauth,,
103,gem,gym,,
104,gem,highline,,
105,gem,http-cookie,,
106,gem,httpclient,,
107,gem,i18n,,
108,gem,json,,
109,gem,jwt,,
110,gem,little-plugger,,
111,gem,logging,,
112,gem,memoist,,
113,gem,mime-types,,
114,gem,mime-types-data,,
115,gem,mini_magick,,
116,gem,mini_portile2,,
117,gem,minitest,,
118,gem,multi_json,,
119,gem,multi_xml,,
120,gem,multipart-post,,
121,gem,nanaimo,,
122,gem,nokogiri,,
123,gem,os,,
124,gem,plist,,
125,gem,public_suffix,,
126,gem,representable,,
127,gem,retriable,,
128,gem,rouge,,
129,gem,rubyzip,,
130,gem,scan,,
131,gem,security,,
132,gem,sigh,,
133,gem,signet,,
134,gem,slack-notifier,,
135,gem,slather,,
136,gem,snapshot,,
137,gem,spaceship,,
138,gem,terminal-notifier,,
139,gem,terminal-table,,
140,gem,thread_safe,,
141,gem,tty-screen,,
142,gem,tzinfo,,
143,gem,uber,,
144,gem,unf,,
145,gem,unf_ext,,
146,gem,unicode-display_width,,
147,gem,word_wrap,,
148,gem,xcodeproj,,
149,gem,xcpretty,,
150,gem,xcpretty-travis-formatter,,
151,rpm,NSweblog,,
152,rpm,filebeat,,
153,terraform.resource,datadog_authn_mapping,"",""
154,terraform.resource,datadog_role,"",""
155,terraform.resource,datadog_team,"",""
156,terraform.resource,datadog_team_permission_setting,"",""
157,terraform.resource,azurerm_storage_account,"",""
158,terraform.resource,azurerm_storage_container,"",""
159,terraform.resource,azurerm_kubernetes_cluster,"",""
160,terraform.resource,azurerm_kubernetes_cluster_node_pool,"",""
161,golang,cuelang.org/go,"",""
162,golang,github.com/Masterminds/sprig/v3,"",""
163,golang,github.com/mitchellh/go-homedir,"",""
164,golang,github.com/spf13/cobra,"",""
165,golang,github.com/spf13/pflag,"",""
166,golang,github.com/spf13/viper,"",""
167,golang,gopkg.in/yaml.v3,"",""
168,golang,k8s.io/api,"",""
169,golang,k8s.io/apimachinery,"",""
170,golang,k8s.io/client-go,"",""
171,golang,sigs.k8s.io/controller-runtime,"",""
172,golang,sigs.k8s.io/yaml,"",""
173,go-module,cloud.google.com/go,,
174,go-module,cuelabs.dev/go/oci/ociregistry,,
175,go-module,cuelang.org/go,,
176,go-module,github.com/Masterminds/goutils,,
177,go-module,github.com/Masterminds/semver/v3,,
178,go-module,github.com/Masterminds/sprig/v3,,
179,go-module,github.com/aws/aws-sdk-go,,
180,go-module,github.com/boombuler/barcode,,
181,go-module,github.com/cockroachdb/apd/v3,,
182,go-module,github.com/cpuguy83/go-md2man/v2,,
183,go-module,github.com/davecgh/go-spew,,
184,go-module,github.com/docker/spdystream,,
185,go-module,github.com/emicklei/go-restful/v3,,
186,go-module,github.com/emicklei/proto,,
187,go-module,github.com/fsnotify/fsnotify,,
188,go-module,github.com/go-errors/errors,,
189,go-module,github.com/go-logr/logr,,
190,go-module,github.com/go-openapi/jsonpointer,,
191,go-module,github.com/go-openapi/jsonreference,,
192,go-module,github.com/go-openapi/swag,,
193,go-module,github.com/go-sql-driver/mysql,,
194,go-module,github.com/go-task/slim-sprig,,
195,go-module,github.com/gogo/protobuf,,
196,go-module,github.com/golang/protobuf,,
197,go-module,github.com/google/gnostic-models,,
198,go-module,github.com/google/go-cmp,,
199,go-module,github.com/google/gofuzz,,
200,go-module,github.com/google/pprof,,
201,go-module,github.com/google/uuid,,
202,go-module,github.com/googleapis/gnostic,,
203,go-module,github.com/gruntwork-io/go-commons,,
204,go-module,github.com/gruntwork-io/terratest,,
205,go-module,github.com/hashicorp/errwrap,,
206,go-module,github.com/hashicorp/go-multierror,,
207,go-module,github.com/hashicorp/hcl,,
208,go-module,github.com/huandu/xstrings,,
209,go-module,github.com/imdario/mergo,,
210,go-module,github.com/inconshreveable/mousetrap,,
211,go-module,github.com/jmespath/go-jmespath,,
212,go-module,github.com/josharian/intern,,
213,go-module,github.com/json-iterator/go,,
214,go-module,github.com/magiconair/properties,,
215,go-module,github.com/mailru/easyjson,,
216,go-module,github.com/mattn/go-zglob,,
217,go-module,github.com/mitchellh/copystructure,,
218,go-module,github.com/mitchellh/go-homedir,,
219,go-module,github.com/mitchellh/go-wordwrap,,
220,go-module,github.com/mitchellh/mapstructure,,
221,go-module,github.com/mitchellh/reflectwalk,,
222,go-module,github.com/moby/spdystream,,
223,go-module,github.com/modern-go/concurrent,,
224,go-module,github.com/modern-go/reflect2,,
225,go-module,github.com/munnerz/goautoneg,,
226,go-module,github.com/mxk/go-flowrate,,
227,go-module,github.com/onsi/ginkgo/v2,,
228,go-module,github.com/onsi/gomega,,
229,go-module,github.com/opencontainers/go-digest,,
230,go-module,github.com/opencontainers/image-spec,,
231,go-module,github.com/pelletier/go-toml/v2,,
232,go-module,github.com/pmezard/go-difflib,,
233,go-module,github.com/pquerna/otp,,
234,go-module,github.com/protocolbuffers/txtpbfmt,,
235,go-module,github.com/rogpeppe/go-internal,,
236,go-module,github.com/russross/blackfriday/v2,,
237,go-module,github.com/sagikazarmark/locafero,,
238,go-module,github.com/sagikazarmark/slog-shim,,
239,go-module,github.com/shopspring/decimal,,
240,go-module,github.com/sourcegraph/conc,,
241,go-module,github.com/spf13/afero,,
242,go-module,github.com/spf13/cast,,
243,go-module,github.com/spf13/cobra,,
244,go-module,github.com/spf13/pflag,,
245,go-module,github.com/spf13/viper,,
246,go-module,github.com/stretchr/testify,,
247,go-module,github.com/subosito/gotenv,,
248,go-module,github.com/urfave/cli,,
249,go-module,github.com/urfave/cli/v2,,
250,go-module,github.com/xrash/smetrics,,
251,go-module,go.uber.org/multierr,,
252,go-module,golang.org/x/crypto,,
253,go-module,golang.org/x/exp,,
254,go-module,golang.org/x/mod,,
